Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-03-01 - 2022-03-31,Apr/05/2022 7:21 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-03-01 - 2022-03-31,Apr/05/2022 6:09 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,24,5,5,0,0,0,0,0,2,Yes,520070,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-03-01 - 2022-03-31,Apr/05/2022 3:24 PM,Measures Submitted
Mayo Clinic Florida,29,0,0,0,0,0,2,0,0,Yes,100151,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2022-03-01 - 2022-03-31,Apr/05/2022 2:59 PM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/05/2022 12:53 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/04/2022 1:54 PM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-03-01 - 2022-03-31,Apr/04/2022 11:35 AM,Measures Submitted
Saint Thomas West Hospital,7,0,0,0,0,0,0,3,0,Yes,440082,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,Saint Thomas West Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 5:30 PM,Measures Submitted
Marshfield Medical Center-Marshfield,0,0,0,0,0,0,0,0,0,No,520037,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 3:35 PM,Measures Submitted
Vanderbilt University Medical Center,7,2,2,0,0,0,2,0,0,Yes,440039,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 1:43 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 9:11 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 9:10 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 9:09 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 9:04 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/01/2022 8:01 AM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-02-01 - 2022-02-28,Mar/30/2022 12:45 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/09/2022 9:56 AM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-01-01 - 2022-01-31,Mar/09/2022 9:56 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/09/2022 9:55 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-01-01 - 2022-01-31,Mar/09/2022 9:55 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/09/2022 9:54 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-01-01 - 2022-01-31,Mar/09/2022 9:54 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-01-01 - 2022-01-31,Mar/09/2022 9:52 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/09/2022 9:52 AM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,3,1,0,0,0,0,0,0,0,Yes,50455,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-02-01 - 2022-02-28,Mar/08/2022 12:10 AM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,3,1,1,0,0,0,0,0,0,Yes,50121,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-02-01 - 2022-02-28,Mar/08/2022 12:01 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-02-01 - 2022-02-28,Mar/07/2022 6:00 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,1,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-02-01 - 2022-02-28,Mar/07/2022 1:00 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,16,3,2,0,0,0,0,0,0,Yes,520070,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-02-01 - 2022-02-28,Mar/07/2022 8:07 AM,Measures Submitted
Mayo Clinic Florida,33,1,1,0,0,0,2,0,0,Yes,100151,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2022-02-01 - 2022-02-28,Mar/07/2022 8:05 AM,Measures Submitted
Brigham and Women's Hospital,10,9,3,0,0,0,1,0,0,Yes,220110,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/06/2022 12:22 PM,Measures Submitted
Mount Sinai Hospital,2,0,0,0,0,0,1,0,0,Yes,330024,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,High,ess_service_account,Mount Sinai Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 3:31 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 2:24 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 2:23 PM,Measures Submitted
Atrium Health Lincoln,6,3,3,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 11:08 AM,Measures Submitted
Atrium Health Cleveland,5,3,0,1,0,0,1,0,0,Yes,340021,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Critical,ess_service_account,Atrium Health Cleveland: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 11:04 AM,Measures Submitted
Atrium Health University,5,3,1,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 11:01 AM,Measures Submitted
Atrium Health Union,5,0,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 10:59 AM,Measures Submitted
Atrium Health Pineville,2,0,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 10:56 AM,Measures Submitted
Carolinas Medical Center,8,1,0,1,0,0,3,0,0,Yes,340113,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Critical,ess_service_account,Carolinas Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 10:54 AM,Measures Submitted
Atrium Health Cabarrus,13,7,1,0,0,0,0,0,0,Yes,340001,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 10:45 AM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/04/2022 8:21 AM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,4,1,1,1,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Critical,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 4:31 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,4,1,1,1,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Critical,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 3:46 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 2:59 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 2:58 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,1,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 2:27 PM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-02-01 - 2022-02-28,Mar/03/2022 11:16 AM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/02/2022 4:48 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-02-01 - 2022-02-28,Mar/02/2022 4:45 PM,Measures Submitted
UnityPoint Health System,2,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-02-01 - 2022-02-28,Mar/02/2022 4:03 PM,Measures Submitted
Vanderbilt University Medical Center,7,1,1,0,0,0,1,0,0,Yes,440039,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/02/2022 3:03 PM,Measures Submitted
Massachusetts General Hospital,3,1,0,0,0,0,0,0,0,Yes,220071,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/02/2022 9:39 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 5:31 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 5:30 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 5:30 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 5:29 PM,Measures Submitted
OSF Saint Francis Medical Center,0,0,0,0,0,0,0,0,0,No,140067,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 2:36 PM,Measures Submitted
Marshfield Medical Center-Marshfield,1,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 1:45 PM,Measures Submitted
Saint Thomas West Hospital,7,0,0,0,0,0,0,0,0,Yes,440082,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Saint Thomas West Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 1:23 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 12:57 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 12:56 PM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 12:56 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 12:54 PM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 9:38 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 9:05 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 8:49 AM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,Feb/01/2022 12:00 AM,Feb/28/2022 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2022-02-01 - 2022-02-28,Mar/01/2022 8:36 AM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,1,0,0,0,0,0,0,0,0,Yes,320021,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2022-01-01 - 2022-01-31,Feb/21/2022 11:56 AM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-01-01 - 2022-01-31,Feb/09/2022 2:05 PM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-01-01 - 2022-01-31,Feb/08/2022 2:43 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-01-01 - 2022-01-31,Feb/07/2022 3:42 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-01-01 - 2022-01-31,Feb/07/2022 3:41 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,5,3,2,0,0,0,0,0,0,Yes,50121,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-01-01 - 2022-01-31,Feb/07/2022 2:42 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,2,4,0,0,0,0,0,0,0,Yes,50455,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-01-01 - 2022-01-31,Feb/07/2022 2:40 PM,Measures Submitted
UnityPoint Health System,3,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-01-01 - 2022-01-31,Feb/07/2022 2:26 PM,Measures Submitted
Mayo Clinic Florida,35,3,3,0,0,0,3,0,0,Yes,100151,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Florida: Measures for 2022-01-01 - 2022-01-31,Feb/06/2022 1:18 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,14,2,2,0,0,0,0,0,0,Yes,520070,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-01-01 - 2022-01-31,Feb/06/2022 1:16 PM,Measures Submitted
Massachusetts General Hospital,4,0,0,0,0,0,0,0,0,Yes,220071,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2022-01-01 - 2022-01-31,Feb/05/2022 6:54 AM,Measures Submitted
Vanderbilt University Medical Center,6,1,1,0,0,0,1,0,0,Yes,440039,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,High,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 4:45 PM,Measures Submitted
Brigham and Women's Hospital,5,4,2,0,0,0,1,1,1,Yes,220110,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 4:32 PM,Measures Submitted
Atrium Health Lincoln,4,3,2,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 3:44 PM,Measures Submitted
Atrium Health Cleveland,13,4,1,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 3:41 PM,Measures Submitted
Atrium Health University,4,6,2,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 3:37 PM,Measures Submitted
Atrium Health Union,4,4,0,0,0,0,1,0,0,Yes,340130,AHCAH Measure - Tier 1,Jan/01/2022 12:00 AM,Jan/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-01-01 - 2022-01-31,Feb/04/2022 3:33 PM,Measures Submitted
